Message -> La ruta de acceso no tiene un formato válido.
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173107 | Fecha: 18/10/2021 17:31:07
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173208 | Fecha: 18/10/2021 17:32:08
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173216 | Fecha: 18/10/2021 17:32:16
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_173225 | Fecha: 18/10/2021 17:32:28
¡No hay backup del proyecto seleccionado! | Fecha: 18/10/2021 17:58:09
Guardado proyecto XML  | Fecha: 18/10/2021 17:58:42
Guardado proyecto XML  | Fecha:18/10/2021 18:02:49
Guardado proyecto XML  | Fecha:18/10/2021 18:03:33
Guardado proyecto XML  | Fecha:18/10/2021 18:05:05
Guardado proyecto XML  | Fecha:18/10/2021 18:05:06
Guardado proyecto XML  | Fecha:18/10/2021 18:06:18
Guardado proyecto XML  | Fecha:18/10/2021 18:06:35
Guardado proyecto XML  | Fecha:18/10/2021 18:08:42
Guardado proyecto XML  | Fecha:18/10/2021 18:11:10
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:18
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
